SNO,Name_of_Paper_and_Journal,Year,Technology_Used,Key_Findings,Limitations,Remarks
1,History of Hall Thrusters Development in USSR - IEPC Conference Proceedings,2007,"Stationary Plasma Thrusters (SPT), Xenon propellant","300+ SPT thrusters successfully operated in space since 1972, extensive flight heritage","Limited to space applications, requires vacuum environment",Critical flight heritage data for SPT technology validation
2,Advanced Cryogenic Engine Performance Analysis - NASA Lewis Research Center Technical Report,2023,"Cryogenic rocket engines, LH2/LOX propellants","Achieved 450s+ specific impulse in vacuum, validated cryogenic engine performance",High complexity and cost of cryogenic systems,Baseline performance metrics for cryogenic engine comparison
3,High-power breakdown accompanied by sliding discharge mode in a three-dimensional sliding arc plasma igniter - Journal of Physics Conference Series,2024,"Sliding arc plasma discharge, O* radical generation","286% increase in O* radical concentration, enhanced plasma chemistry","Laboratory conditions only, scaling challenges",Fundamental plasma chemistry research relevant to ignition
4,Two-Stage Plasma Torch Ignition in Supersonic Airflows - AIAA Journal,2001,"Two-stage plasma torch, supersonic combustion",20% power reduction compared to conventional ignition methods,"Supersonic conditions required, limited applicability",Demonstrates plasma ignition efficiency in challenging conditions
5,A Comprehensive Overview of Hydrogen-Fueled Internal Combustion Engines - MDPI Energies,2021,"Hydrogen plasma ignition, ICE applications","90% NOx emission reduction, 15% efficiency improvement with hydrogen plasma","Internal combustion focus, not directly applicable to rockets",Validates hydrogen plasma benefits for combustion applications
6,Influence of plasma-enhanced combustion on RBCC engine using hydrogen fuel - Nature Scientific Reports,2024,"Plasma-enhanced RBCC combustion, mode transition",50% reduction in RBCC mode transition time with plasma enhancement,"Specific to RBCC engines, limited general applicability",Confirms plasma enhancement for advanced engine applications
7,Production of Superheated Hydrogen Plasma Using Radio Frequency Heating - NASA Technical Note,1967,"RF plasma heating, hydrogen plasma generation","70% hydrogen in argon mixture successfully heated with RF plasma, 68% efficiency","Experimental setup, requires further development",Historical foundation for hydrogen plasma generation research
8,The Performance of a Liquid-Fueled High Pressure Igniter for Rocket Engines - University of Central Florida,2023,Liquid-fueled high-pressure plasma igniter,Reliable supersonic ignition achieved with high-pressure plasma system,"High pressure requirements, system complexity",Relevant for high-pressure ignition system development
9,Compact Augmented Spark Igniters for Liquid Rocket Engines - NASA Technical Report,2021,"Augmented spark ignition, plasma-assisted combustion",Improved ignition kernel formation and combustion reliability,Limited to specific ignition applications,Applicable to rocket engine ignition enhancement
10,Russia to Create New Powerful Plasma Rocket Engine - Space Daily News,2016,Nuclear-powered plasma rocket engine,Advanced plasma rocket capability for interplanetary missions,"Early development stage, nuclear power requirements",Indicates future potential for nuclear-powered plasma systems
11,Rosatom scientists developed prototype plasma rocket engine for deep space missions - Rosatom Press Release,2024,"Magnetic plasma accelerator, nuclear power","6N thrust achieved, 100 km/s exhaust velocity demonstrated","Prototype stage, nuclear power infrastructure needed",Major breakthrough in Russian plasma propulsion capability
12,Stationary Plasma Thrusters in Russia: Problems and Perspectives - Trudy MAI Journal,2023,"SPT technology development, flight heritage",Comprehensive overview of Russian SPT development and applications,Limited technical details provided,Comprehensive Russian technology assessment and capabilities
13,Russian scientists develop unique propulsion system - AS.com News Report,2025,"Advanced plasma propulsion, 62 miles/sec capability",62 miles per second exhaust velocity capability claimed,Claims require independent verification,Ambitious claims requiring careful technical evaluation
14,Russia unveils plasma rocket engine prototype - Nuclear Engineering International,2025,"Plasma rocket prototype, nuclear-powered",Prototype development for Mars missions in 30-60 days,"Prototype stage, long development timeline",Significant development in international plasma propulsion
